City,State,Population,Percent employed,Occupation (MBSA),Occupation (S),Occupation (SO),Occupation (RCM),Occupation (PT),Median household income,Homeownership rate,Median home price,Median rent,KMeans,Hierarchical
"Combine, Texas",Texas,2780,67.4,30.7,14.1,22.9,26.5,5.8,92360,91.5,267500,1663,2,0
"Comfort, Texas",Texas,1917,78.3,30.5,18.3,25.0,24.0,2.2,67202,75.4,277900,938,2,4
"Commerce, Texas",Texas,9211,58.9,33.7,24.7,22.0,7.9,11.7,43051,40.0,124800,902,8,4
"Como, Texas",Texas,579,66.0,18.4,16.0,21.2,28.8,15.6,66618,61.1,162500,959,1,4
"Conroe, Texas",Texas,96976,65.8,39.9,18.2,19.0,9.3,13.6,75245,55.2,283100,1350,7,0
"Converse, Texas",Texas,28764,69.3,37.9,16.1,25.6,7.1,13.2,88060,73.7,240100,1601,2,0
"Coolidge, Texas",Texas,899,64.8,10.5,32.9,16.7,22.4,17.5,37350,48.6,64000,780,3,4
"Cooper, Texas",Texas,2045,55.6,24.0,22.9,25.5,5.2,22.4,40189,67.0,85200,870,8,4
"Coppell, Texas",Texas,42029,72.5,64.4,8.8,19.7,2.2,5.0,139227,69.1,525300,1851,0,3
"Copperas Cove, Texas",Texas,37149,64.8,34.8,21.6,21.6,9.1,12.9,68900,58.8,167900,1022,8,4
"Copper Canyon, Texas",Texas,2257,60.9,70.3,4.0,21.3,1.7,2.6,143304,96.5,700100,1946,6,3
"Corinth, Texas",Texas,22868,70.4,52.8,10.9,20.1,8.6,7.6,118949,75.1,351200,1826,0,3
"Corpus Christi, Texas",Texas,317383,62.5,33.8,20.1,21.5,12.4,12.3,66325,57.9,197100,1230,8,4
"Corrigan, Texas",Texas,2218,53.7,12.1,20.7,18.4,12.5,36.3,43352,39.7,107400,702,9,5
"Corsicana, Texas",Texas,25344,62.7,24.3,19.9,19.5,10.3,26.0,51240,55.5,161400,1038,8,4
"Cottonwood Shores, Texas",Texas,1626,75.0,22.7,31.0,18.2,19.5,8.7,64716,72.3,236200,996,3,4
"Coupland, Texas",Texas,459,67.0,40.1,2.8,14.1,33.3,9.6,112713,87.3,222900,1500,2,0
"Cove, Texas",Texas,393,54.8,19.1,13.7,30.6,9.8,26.8,56625,60.9,358100,1125,4,9
"Coyote Flats, Texas",Texas,367,57.0,17.5,7.2,23.5,10.2,41.6,62750,91.9,259700,1469,9,0
"Crandall, Texas",Texas,4307,71.3,41.7,15.1,19.7,8.0,15.6,105556,91.4,272900,1274,2,0
"Crane, Texas",Texas,3304,66.8,23.4,7.9,24.6,27.0,17.1,69083,75.6,128400,817,1,0
"Crawford, Texas",Texas,890,59.5,44.0,15.0,26.8,8.3,6.0,85847,90.9,229300,894,2,0
"Creedmoor, Texas",Texas,382,69.2,33.7,13.5,38.3,10.9,3.6,57143,91.5,314300,2214,2,0
"Cresson, Texas",Texas,1556,62.4,28.5,13.9,21.7,9.6,26.3,85625,71.7,291200,1534,2,0
"Crockett, Texas",Texas,6318,55.4,33.2,31.6,15.3,7.7,12.2,41528,47.1,119500,852,3,4
"Crosby, Texas",Texas,3038,64.7,28.9,30.5,9.7,17.1,13.8,43795,66.9,202700,1097,3,4
"Crosbyton, Texas",Texas,1718,50.1,24.7,17.5,20.2,23.5,14.0,39000,56.0,58900,512,8,4
"Cross Plains, Texas",Texas,1089,56.1,28.0,19.3,25.6,13.2,14.0,45489,61.2,73300,725,8,4
"Cross Roads, Texas",Texas,2090,68.5,43.9,11.5,33.3,4.4,6.9,115000,95.6,543200,1893,0,0
"Cross Timber, Texas",Texas,848,74.0,57.2,4.7,23.8,10.6,3.7,83889,72.7,335400,1894,0,1
"Crowell, Texas",Texas,788,57.0,25.0,28.4,14.9,16.5,15.2,38750,54.6,72000,576,3,4
"Crowley, Texas",Texas,19007,72.7,29.6,15.3,25.2,11.7,18.1,92599,74.0,241500,1659,2,0
"Crystal City, Texas",Texas,6241,53.4,21.8,17.7,19.6,24.7,16.2,38598,65.7,86500,445,1,4
"Cuero, Texas",Texas,8147,43.8,32.3,12.4,24.9,13.9,16.5,62906,55.0,185600,948,8,2
"Cumby, Texas",Texas,743,59.2,29.7,23.6,20.4,10.9,15.3,57679,63.9,91000,872,8,4
"Cushing, Texas",Texas,646,55.6,22.8,10.6,33.8,31.6,1.1,75000,83.0,120500,1100,4,9
"Cut and Shoot, Texas",Texas,850,53.7,24.8,11.3,31.0,14.7,18.2,70227,86.0,169600,994,4,0
"Daingerfield, Texas",Texas,2492,58.6,22.8,17.8,19.3,12.9,27.2,47697,60.5,101700,808,9,4
"Daisetta, Texas",Texas,1133,57.6,18.8,20.6,13.2,14.7,32.7,59079,74.8,106500,955,9,5
"Dalhart, Texas",Texas,7885,76.1,22.0,12.8,21.6,11.3,32.3,76250,72.3,155300,1079,9,0
"Dallas, Texas",Texas,1299553,68.8,40.4,15.4,20.5,10.7,13.1,67760,42.4,295300,1403,7,8
"Dalworthington Gardens, Texas",Texas,2061,61.6,43.8,11.4,29.7,8.2,6.9,138542,87.2,499500,1782,0,0
"Danbury, Texas",Texas,1671,60.1,36.5,9.8,21.2,14.1,18.4,87417,79.5,205600,1484,2,0
"Darrouzett, Texas",Texas,274,69.1,39.3,14.3,12.9,16.4,17.1,62500,63.3,90000,588,5,2
"Dawson, Texas",Texas,1324,65.0,21.3,25.3,25.0,9.2,19.2,57596,57.3,125400,711,8,4
"Dayton, Texas",Texas,9121,58.8,30.4,14.0,19.1,12.1,24.4,61307,65.3,211900,1002,9,4
"Dean, Texas",Texas,469,57.7,40.1,5.6,31.0,7.8,15.5,75000,91.7,219800,670,2,0
"Decatur, Texas",Texas,7087,60.2,27.8,24.9,24.3,9.5,13.6,71919,74.6,242200,1089,4,4
"Deer Park, Texas",Texas,33823,64.4,38.4,11.9,21.7,11.1,16.9,95233,78.6,238900,1299,2,0
"De Kalb, Texas",Texas,1702,48.1,18.2,30.5,16.1,14.1,21.1,45577,52.4,99900,775,3,4
"De Leon, Texas",Texas,2512,70.7,17.1,16.8,20.5,29.8,15.8,50871,70.1,79800,561,1,4
"Delmita, Texas",Texas,210,57.3,21.1,23.9,7.0,19.7,28.2,29808,48.3,85000,325,9,4
"Del Rio, Texas",Texas,34638,59.1,28.1,25.1,22.2,11.4,13.3,59588,67.0,143200,892,8,4
"Denison, Texas",Texas,25347,58.4,28.3,17.3,25.9,9.5,19.1,60821,59.7,167800,1161,8,4
"Denton, Texas",Texas,146987,67.0,43.1,18.2,20.8,6.7,11.2,73719,49.2,325700,1344,7,4
"Denver City, Texas",Texas,4388,62.9,42.8,3.6,19.8,22.3,11.4,84333,85.2,184000,973,2,2
"Deport, Texas",Texas,793,53.6,25.8,15.2,21.2,9.7,28.2,48333,65.3,65500,633,9,9
"DeSoto, Texas",Texas,55896,68.7,38.2,12.6,24.6,5.7,18.9,83256,70.5,282600,1478,2,0
"Detroit, Texas",Texas,546,51.1,29.1,22.0,19.3,10.3,19.3,42500,64.0,91700,542,8,4
"Devine, Texas",Texas,4430,55.9,32.6,23.8,20.3,12.5,10.9,45703,70.2,145600,714,8,4
"D'Hanis, Texas",Texas,638,40.0,55.5,29.1,4.9,7.7,2.7,42083,73.3,54200,1295,5,2
"Diboll, Texas",Texas,4531,53.6,30.4,22.6,37.5,3.7,5.7,55326,72.6,82400,704,4,9
"Dickinson, Texas",Texas,21612,66.8,37.6,15.8,21.4,9.4,15.8,82018,72.8,244500,1235,2,0
"Dilley, Texas",Texas,3312,47.8,37.5,14.1,17.1,14.8,16.4,47210,62.8,109900,850,5,4
"Dimmitt, Texas",Texas,4143,71.9,32.7,26.9,16.1,12.4,11.9,66250,65.0,88500,890,8,4
"Dodd City, Texas",Texas,496,72.3,30.5,21.1,8.1,15.4,24.9,107083,53.7,130200,1427,8,0
"Doffing, Texas",Texas,5126,48.1,9.9,27.0,21.4,19.0,22.7,26525,85.1,93300,793,9,4
"Donna, Texas",Texas,16774,48.6,25.3,20.9,23.9,14.0,15.9,38082,58.2,68500,734,8,4
"Doolittle, Texas",Texas,6162,46.6,17.6,15.1,28.0,13.4,25.8,36397,84.8,74600,1016,4,4
"Double Oak, Texas",Texas,3060,59.0,51.8,9.3,25.9,5.3,7.7,180208,97.8,652200,1375,0,0
"Dripping Springs, Texas",Texas,6322,65.8,50.3,12.0,17.8,5.5,14.5,106103,51.4,579300,1985,7,1
"Driscoll, Texas",Texas,694,66.0,8.7,40.6,18.7,15.2,16.8,36638,41.4,95000,1073,3,4
"Dublin, Texas",Texas,3404,60.7,26.5,10.4,17.1,21.2,24.7,51035,79.7,128900,1160,9,0
"Dumas, Texas",Texas,14362,69.0,29.9,14.9,14.2,12.2,28.8,62129,61.7,151400,1029,9,4
"Duncanville, Texas",Texas,39879,62.1,27.2,21.3,22.4,10.9,18.3,71381,65.3,239200,1562,8,0
"Eagle Lake, Texas",Texas,3464,60.6,30.0,12.1,19.2,11.4,27.4,71684,84.8,110700,1106,9,0
"Eagle Pass, Texas",Texas,28186,60.4,26.8,26.9,21.7,13.4,11.1,54952,59.3,192600,794,8,4
"Early, Texas",Texas,3159,66.7,37.8,17.8,22.1,8.1,14.3,69375,71.1,170700,1137,2,0
"Earth, Texas",Texas,937,51.8,24.5,13.7,21.7,23.1,17.0,47303,77.9,76400,786,1,4
"East Bernard, Texas",Texas,2653,59.2,35.2,7.5,30.4,18.1,8.8,73775,84.9,269200,1140,2,0
"Eastland, Texas",Texas,3631,61.3,29.7,22.4,26.9,6.4,14.6,51334,66.0,175800,805,8,4
"East Mountain, Texas",Texas,921,53.0,15.6,17.3,27.1,10.7,29.4,66250,73.2,176800,1185,9,9
"East Tawakoni, Texas",Texas,933,55.2,24.9,17.2,28.4,14.9,14.7,53056,79.4,165000,864,4,4
"Ector, Texas",Texas,826,68.1,21.4,24.6,19.0,15.7,19.3,61731,52.3,148100,1094,8,4
"Edcouch, Texas",Texas,2729,48.9,28.0,16.2,31.4,16.8,7.6,33258,49.3,72500,603,4,9
"Eden, Texas",Texas,1793,22.2,54.5,19.8,12.8,10.6,2.2,45694,67.0,83800,910,5,2
"Edgecliff Village, Texas",Texas,3752,65.0,41.4,9.2,15.6,12.5,21.4,85236,85.7,259700,1793,2,0
"Edgewood, Texas",Texas,1869,60.7,25.3,18.3,15.5,17.8,23.1,77778,65.0,195200,993,9,4
"Edinburg, Texas",Texas,102561,61.6,35.0,20.0,25.7,9.2,10.1,57789,52.5,174800,968,8,4
"Edna, Texas",Texas,5994,56.3,26.3,21.8,10.2,17.1,24.5,60765,59.9,117500,1090,9,4
"Edom, Texas",Texas,300,68.3,38.4,20.0,21.6,16.0,4.0,101250,87.8,167200,1333,2,4
"Eidson Road, Texas",Texas,9481,52.6,21.1,30.5,18.2,9.1,21.1,39388,78.3,94400,766,3,4
"El Campo, Texas",Texas,12220,60.4,28.6,16.2,22.7,14.5,18.0,67356,60.0,183400,973,8,4
"El Cenizo, Texas",Texas,2328,58.9,10.7,28.6,21.9,14.5,24.3,41786,76.3,65700,591,9,4
"Eldorado, Texas",Texas,1793,56.8,30.1,6.6,13.6,20.8,29.0,66125,85.9,97300,621,9,0
"Electra, Texas",Texas,2259,53.2,27.2,18.9,18.0,14.1,21.9,64125,66.0,52300,761,9,4
"Elgin, Texas",Texas,10996,73.3,46.6,15.0,15.9,10.6,12.0,85666,68.4,267900,1289,7,0
"Elkhart, Texas",Texas,1585,51.0,23.3,19.2,18.5,8.1,30.9,65071,63.8,118200,683,9,9
"El Lago, Texas",Texas,3016,65.0,60.9,6.3,17.8,4.7,10.3,104375,89.4,303700,1642,0,3
"Ellinger, Texas",Texas,222,61.3,35.0,21.4,9.7,15.5,18.4,59625,80.9,214300,775,1,2
"Elmendorf, Texas",Texas,2326,56.8,23.0,20.9,30.9,10.3,14.9,57750,82.8,163000,1264,4,9
"El Paso, Texas",Texas,678147,62.4,34.9,21.0,22.6,8.6,13.0,58734,60.2,171700,1041,8,8
"Elsa, Texas",Texas,5688,60.2,23.9,25.1,19.3,16.3,15.4,55519,75.9,90600,676,3,4
"Emhouse, Texas",Texas,141,70.9,0.0,24.3,12.2,52.7,10.8,40833,89.6,83400,1156,1,6
"Emory, Texas",Texas,1304,50.0,15.4,24.4,31.5,13.0,15.7,35489,46.6,187500,912,8,4
"Enchanted Oaks, Texas",Texas,267,48.6,57.4,6.6,27.9,0.0,8.2,106250,92.5,354500,1125,0,2
"Encinal, Texas",Texas,992,36.3,13.7,24.5,39.8,10.9,11.2,48702,87.8,107300,842,4,4
"Ennis, Texas",Texas,21546,71.1,28.2,17.4,19.3,13.7,21.4,72772,65.3,225900,1233,8,4
"Escobares, Texas",Texas,2563,53.5,22.7,35.6,17.4,14.0,10.3,29420,66.9,56700,781,3,4
"Euless, Texas",Texas,60373,76.9,41.6,16.5,20.3,6.0,15.7,80987,39.5,294500,1606,7,1
"Eustace, Texas",Texas,1167,64.2,41.1,19.3,18.9,10.8,9.9,64000,59.8,144000,838,8,4
"Evadale, Texas",Texas,974,67.2,26.7,3.3,29.0,20.5,20.5,63929,76.3,86400,637,4,0
"Evant, Texas",Texas,559,63.0,25.4,27.2,26.1,16.0,5.2,41583,62.1,83300,756,8,4
"Everman, Texas",Texas,6060,59.9,34.1,14.1,16.4,16.4,19.1,60068,55.5,168100,1190,8,4
"Fabens, Texas",Texas,4704,59.0,13.0,28.0,30.1,7.4,21.5,42524,77.5,88900,645,4,4
"Fairchilds, Texas",Texas,763,53.1,28.8,18.7,22.0,11.6,19.0,66042,75.2,195800,998,4,0
"Fairfield, Texas",Texas,2899,58.8,31.3,33.0,17.2,7.2,11.2,55294,54.4,159000,975,3,4
"Fairview, Texas",Texas,10570,43.4,67.5,4.5,20.1,4.0,4.0,107308,73.2,544800,1875,0,2
"Falcon Lake Estates, Texas",Texas,1037,62.2,39.0,25.2,7.5,21.8,6.6,62589,79.3,146600,645,1,2
"Falfurrias, Texas",Texas,4443,70.4,23.1,44.1,10.1,15.1,7.6,38696,42.5,78500,491,3,4
"Falls City, Texas",Texas,853,65.7,45.8,17.0,20.8,11.1,5.4,77697,70.0,213500,1154,2,0
"Farmers Branch, Texas",Texas,36254,75.8,44.5,14.5,23.4,6.5,11.1,87702,46.1,322000,1820,7,1
"Farmersville, Texas",Texas,3851,55.3,23.2,33.2,23.1,4.1,16.4,47016,72.3,273600,1503,3,4
"Farwell, Texas",Texas,1359,63.4,31.8,14.5,20.4,6.1,27.2,56932,65.6,129800,1153,9,4
"Fate, Texas",Texas,20757,74.9,52.3,14.6,15.3,8.0,9.8,129500,88.8,361100,2528,0,3
"Fayetteville, Texas",Texas,365,61.8,24.4,13.7,16.1,8.3,37.6,65500,85.8,254200,938,9,0
"Ferris, Texas",Texas,2932,70.8,28.3,9.4,24.7,21.2,16.4,71583,68.2,219600,1145,2,0
"Flatonia, Texas",Texas,1741,59.4,17.4,15.2,11.4,15.8,40.3,66344,77.5,176700,683,9,5
"Florence, Texas",Texas,1215,60.7,18.4,13.7,29.0,18.4,20.5,72743,70.2,206500,956,4,9
"Floresville, Texas",Texas,7679,56.2,22.5,18.2,28.2,14.6,16.4,59618,66.9,247200,1088,4,4
"Flower Mound, Texas",Texas,77886,71.1,61.1,7.9,21.3,3.7,6.1,157737,82.3,514100,2221,0,3
"Floydada, Texas",Texas,2618,62.9,27.6,16.9,15.3,28.2,12.0,45848,71.6,83400,510,1,2
"Forest Hill, Texas",Texas,13923,60.5,26.7,14.5,20.8,11.8,26.1,59653,69.3,171300,1506,9,0
"Forney, Texas",Texas,28222,75.2,44.0,13.3,21.8,8.7,12.2,103360,74.3,323500,1665,2,1
"Fort Stockton, Texas",Texas,8340,61.7,23.3,21.8,23.0,22.1,9.8,69688,64.1,176600,977,8,4
"Fort Worth, Texas",Texas,941311,68.5,38.1,15.8,20.6,9.6,16.0,76602,56.7,277300,1412,7,8
"Four Corners, Texas",Texas,11490,68.4,38.8,21.5,20.3,7.0,12.4,72853,73.9,262700,1609,2,0
"Franklin, Texas",Texas,1498,51.9,36.0,31.3,16.4,9.3,7.1,54688,49.0,171000,795,3,4
"Frankston, Texas",Texas,1270,54.4,34.4,13.7,18.1,6.6,27.1,59423,62.3,105800,939,9,2
"Fredericksburg, Texas",Texas,11254,53.9,31.4,19.5,29.5,12.4,7.2,57474,59.0,442800,1364,8,0
"Freeport, Texas",Texas,10639,58.9,15.9,28.8,17.2,19.8,18.3,53606,60.5,118900,1061,3,4
"Freer, Texas",Texas,2524,59.4,29.3,13.2,19.6,22.8,15.2,75521,62.8,102000,733,1,4
"Fresno, Texas",Texas,24087,74.9,30.2,15.8,23.7,12.5,17.7,89442,84.8,230400,2131,2,0
"Friendswood, Texas",Texas,40827,64.4,58.3,8.9,17.4,5.9,9.4,125052,76.9,399500,1698,0,3
"Friona, Texas",Texas,4116,64.8,22.9,22.4,16.3,22.3,16.2,72882,75.0,93400,976,1,4
"Frisco, Texas",Texas,210238,71.8,64.8,8.8,19.0,2.8,4.6,146158,66.5,595400,1902,0,3
"Fritch, Texas",Texas,2544,58.3,41.5,17.6,11.7,13.8,15.5,78487,85.4,124000,1094,5,2
"Frost, Texas",Texas,971,64.2,29.9,24.8,10.1,25.3,9.9,89750,84.7,124800,1018,1,4
"Fruitvale, Texas",Texas,454,52.1,44.2,21.8,6.6,8.1,19.3,53750,70.2,179100,663,5,4
"Fulshear, Texas",Texas,26986,60.6,73.4,7.3,17.2,0.0,2.2,178398,91.1,546200,1889,6,3
"Fulton, Texas",Texas,1002,28.7,32.5,37.2,13.5,2.2,14.6,54007,84.5,78700,1136,3,2
"Gainesville, Texas",Texas,17688,64.2,28.2,22.4,18.4,14.8,16.3,56341,57.2,162900,1080,8,4
"Galena Park, Texas",Texas,10527,61.3,15.9,12.6,23.5,19.6,28.4,54167,70.1,116400,1108,9,9
"Galveston, Texas",Texas,53348,57.5,39.9,22.8,18.9,7.5,10.9,57216,46.7,294300,1278,8,4
"Ganado, Texas",Texas,2045,66.3,25.2,16.3,4.1,28.8,25.7,45513,39.5,178500,934,8,5
"Gardendale, Texas",Texas,1520,64.2,35.3,19.5,19.9,16.3,9.0,96974,90.3,367700,1306,2,4
"Garland, Texas",Texas,245298,68.8,31.2,18.2,21.2,14.3,15.1,74717,61.6,248900,1525,8,0
"Garner, Texas",Texas,522,63.8,30.8,25.2,16.2,10.6,17.2,99583,89.0,442500,1706,2,0
"Garrett, Texas",Texas,1067,73.9,9.2,24.8,18.3,22.3,25.4,76458,79.6,127500,958,9,4
"Garrison, Texas",Texas,1001,51.8,38.1,29.1,15.5,5.6,11.7,39167,59.2,78700,779,3,4
"Gatesville, Texas",Texas,16058,22.5,28.4,21.7,18.7,14.7,16.5,54802,64.9,162000,920,5,2
"Georgetown, Texas",Texas,78803,55.7,46.6,15.6,21.8,7.2,8.9,91857,69.4,398600,1671,0,0
"George West, Texas",Texas,3067,56.2,19.6,25.7,25.7,20.7,8.3,47402,66.8,133400,857,4,4
"Gholson, Texas",Texas,1131,58.3,22.7,7.2,19.2,27.1,23.9,76833,78.1,150600,910,1,0
"Giddings, Texas",Texas,5085,67.1,19.6,25.0,19.4,17.1,18.9,51397,63.6,192800,1139,8,4
"Gilmer, Texas",Texas,4955,46.6,42.1,15.4,17.7,11.9,12.9,41279,51.3,160700,993,5,2
"Gladewater, Texas",Texas,6297,61.1,29.6,16.8,17.5,17.9,18.3,52100,57.8,162400,984,8,4
"Glenn Heights, Texas",Texas,17175,72.5,35.3,15.0,23.8,9.4,16.5,79739,78.8,252200,1544,2,0
"Glen Rose, Texas",Texas,2770,61.0,33.7,17.4,15.1,14.0,19.8,75000,65.9,254100,946,8,0
"Godley, Texas",Texas,2223,74.2,47.9,10.4,20.9,9.9,10.9,93182,83.7,323500,1647,0,0
"Goldsmith, Texas",Texas,215,57.1,21.0,12.0,15.0,23.0,29.0,89464,68.7,110900,1433,9,0
"Goldthwaite, Texas",Texas,1733,63.4,37.2,11.3,14.8,23.6,13.1,63942,72.0,115900,714,1,2
"Goliad, Texas",Texas,1551,53.4,24.5,12.1,32.1,18.8,12.6,41696,67.3,178100,720,4,9
"Gonzales, Texas",Texas,7180,57.1,24.2,22.7,29.2,7.5,16.4,50324,58.3,184600,713,8,4
"Goodrich, Texas",Texas,326,69.2,21.1,24.8,24.2,14.9,14.9,37330,58.7,88400,1371,8,4
"Gordon, Texas",Texas,460,60.6,49.0,8.9,17.7,17.2,7.3,76375,78.2,154500,946,5,2
"Gorman, Texas",Texas,1056,47.4,29.6,24.3,13.4,16.2,16.5,21607,58.5,71000,484,3,4
"Graford, Texas",Texas,632,61.9,29.8,9.8,19.1,20.4,20.9,57917,84.9,106700,875,1,2
"Graham, Texas",Texas,8758,65.8,28.3,20.9,18.8,13.2,18.8,58525,63.8,173000,970,8,4
"Granbury, Texas",Texas,11665,49.9,44.1,12.3,22.4,7.6,13.7,68839,59.2,278700,1387,5,2
"Grand Prairie, Texas",Texas,198564,69.7,35.0,15.4,20.1,11.2,18.3,78889,57.9,272200,1470,7,0
"Grand Saline, Texas",Texas,3166,50.8,23.3,15.9,21.0,22.3,17.5,50568,69.2,116200,927,1,4
"Grandview, Texas",Texas,2004,68.5,31.4,17.4,11.4,11.9,27.9,93790,69.1,225600,1036,9,4
"Granite Shoals, Texas",Texas,5247,61.6,34.5,17.3,25.3,17.0,5.9,69602,80.9,194500,1399,2,4
"Grape Creek, Texas",Texas,4214,55.6,36.2,18.4,9.5,18.7,17.1,49688,77.6,109000,1096,1,4
"Grapeland, Texas",Texas,1720,60.4,21.7,29.3,18.4,7.9,22.7,36918,43.7,154000,854,8,4
"Grapevine, Texas",Texas,50875,75.8,57.4,11.0,19.7,3.5,8.4,111438,51.9,470400,1806,7,1
"Grays Prairie, Texas",Texas,378,72.0,35.0,12.7,19.4,18.1,14.8,118750,92.9,291700,675,2,2
"Greenville, Texas",Texas,29936,63.8,28.6,20.6,19.8,11.1,19.9,63574,52.0,197400,1274,8,4
"Gregory, Texas",Texas,2081,54.8,22.0,31.0,19.1,11.3,16.6,36844,63.0,97200,837,3,4
"Grey Forest, Texas",Texas,677,66.4,42.1,4.6,33.5,3.0,16.8,122222,95.6,436500,796,2,0
"Groesbeck, Texas",Texas,3634,49.8,22.8,26.9,12.6,16.0,21.6,54615,57.5,144100,826,3,4
"Groom, Texas",Texas,462,60.0,44.4,10.0,14.6,11.3,19.7,73750,90.0,97700,1011,5,2
"Groves, Texas",Texas,17021,60.6,26.5,17.2,22.4,17.5,16.4,70485,78.2,153800,1247,2,0
"Groveton, Texas",Texas,996,44.1,32.8,6.5,25.3,16.7,18.8,40227,69.0,76000,676,4,4
"Gruver, Texas",Texas,1255,67.7,31.4,18.8,20.7,18.8,10.3,66333,79.6,107300,783,1,4
"Gun Barrel City, Texas",Texas,6408,57.4,29.3,13.6,29.5,11.9,15.7,69273,88.6,229300,922,4,0
"Gunter, Texas",Texas,2382,68.3,37.0,18.4,18.0,13.5,13.1,110795,71.6,535400,1398,2,0
"Gustine, Texas",Texas,379,60.5,22.9,2.7,8.5,31.9,34.0,50313,81.9,87900,792,9,0
"Hackberry, Texas",Texas,2927,78.7,52.8,13.3,19.4,7.8,6.8,118000,77.3,386500,2173,0,3
"Hale Center, Texas",Texas,1705,51.7,30.6,20.5,15.4,6.5,27.0,49083,85.7,85300,657,9,4
"Hallettsville, Texas",Texas,2744,64.0,38.4,18.5,15.4,14.5,13.2,53567,64.9,154300,888,5,2
"Hallsville, Texas",Texas,4496,68.7,39.0,8.2,30.9,15.9,6.0,71369,54.0,194600,1220,7,4
"Haltom City, Texas",Texas,45681,66.1,22.2,17.9,23.0,12.2,24.7,56156,50.5,194600,1329,8,4
"Hamilton, Texas",Texas,2904,57.6,25.6,29.6,24.4,9.9,10.5,46466,67.7,95000,749,3,4
"Hamlin, Texas",Texas,2178,72.2,19.9,24.0,20.4,13.7,22.1,61949,67.1,72100,847,8,4
"Happy, Texas",Texas,758,54.6,33.6,11.7,16.4,24.6,13.7,67656,90.6,78600,943,1,2
"Hardin, Texas",Texas,702,43.8,30.4,16.6,15.4,5.9,31.6,54625,78.4,128800,1397,9,0
"Harker Heights, Texas",Texas,33595,68.2,40.6,16.9,23.1,10.0,9.3,82685,62.2,269000,1114,7,0
"Harlingen, Texas",Texas,71669,58.2,35.0,25.2,22.2,8.5,9.1,55891,57.4,125700,893,8,4
"Hart, Texas",Texas,869,59.7,21.1,26.6,0.8,31.7,19.8,45000,76.3,60400,732,1,4
"Hartley, Texas",Texas,514,54.1,39.3,8.4,43.0,3.3,6.1,54050,63.6,186700,1538,4,0
"Haskell, Texas",Texas,3038,54.2,36.8,22.6,14.4,11.1,15.1,60661,64.1,105100,811,5,2
"Haslet, Texas",Texas,2710,69.6,53.7,7.9,20.7,11.7,6.0,146161,92.4,556700,1786,0,3
"Hawk Cove, Texas",Texas,387,55.1,12.0,19.2,30.5,16.8,21.6,36042,86.0,83900,1208,4,4
"Hawkins, Texas",Texas,1664,62.2,37.3,22.6,16.7,11.7,11.8,70580,67.7,94800,848,5,4
"Hawley, Texas",Texas,580,68.0,36.5,20.1,23.7,8.4,11.4,78438,88.3,115600,593,2,0
"Hays, Texas",Texas,173,43.6,39.0,5.1,37.3,5.1,13.6,89750,89.9,330400,2150,2,0
"Hearne, Texas",Texas,4529,55.0,21.5,31.4,17.3,10.5,19.2,30938,54.0,90200,639,3,4
"Heartland, Texas",Texas,11019,82.0,41.8,17.3,20.5,6.8,13.6,107165,92.7,305000,2313,0,3
"Heath, Texas",Texas,10218,58.3,61.7,10.5,18.0,7.5,2.4,216160,95.3,681500,1854,6,3
"Hebbronville, Texas",Texas,4324,58.6,22.9,17.8,15.0,24.8,19.5,42347,59.6,132400,821,1,4
"Hebron, Texas",Texas,245,71.4,79.2,6.3,13.2,0.0,1.3,211364,87.0,482100,1333,6,3
"Hedley, Texas",Texas,268,64.7,34.0,14.7,21.3,14.7,15.3,50000,79.2,38900,634,4,0
"Hedwig Village, Texas",Texas,2029,62.3,68.9,4.1,19.0,0.0,8.0,184141,74.8,1458300,1437,6,3
"Helotes, Texas",Texas,9372,63.0,54.3,12.3,20.8,6.2,6.4,129884,93.0,382400,2518,0,3
"Hemphill, Texas",Texas,1397,61.2,27.7,14.9,30.0,13.0,14.5,58445,51.9,86300,888,8,4
"Hempstead, Texas",Texas,5899,60.6,30.7,35.4,9.0,5.6,19.3,58288,33.4,145700,1282,3,4
"Henderson, Texas",Texas,13348,44.4,36.1,19.8,19.0,6.6,18.5,54179,66.5,166900,1011,5,4
"Henrietta, Texas",Texas,3143,56.5,39.4,12.4,25.5,6.5,16.2,63242,72.9,131100,684,5,2
"Hereford, Texas",Texas,14874,65.8,18.9,18.9,20.8,21.3,20.0,51799,64.3,109100,934,8,4
"Hermleigh, Texas",Texas,418,46.3,12.7,11.9,15.9,23.8,35.7,49063,76.8,84700,743,9,0
"Hewitt, Texas",Texas,16244,66.1,44.7,14.7,20.4,2.9,17.3,83798,67.4,252200,1389,2,0
"Hickory Creek, Texas",Texas,5161,84.8,42.4,15.5,19.9,4.9,17.3,144434,78.1,510100,2133,0,3
"Hico, Texas",Texas,1806,50.0,38.6,14.6,12.4,13.1,21.3,52250,73.3,122600,725,5,4
"Hidalgo, Texas",Texas,14250,67.7,28.3,14.8,24.1,14.7,18.1,53667,78.9,156400,849,4,0
"Hideaway, Texas",Texas,3259,42.1,64.3,11.3,18.5,4.0,1.9,90640,93.7,287600,1528,0,2
"Higgins, Texas",Texas,499,54.5,36.9,15.4,10.1,12.1,25.5,56875,85.5,93600,725,9,2
"Highland Haven, Texas",Texas,452,31.8,48.2,10.9,22.6,8.0,10.2,88500,94.7,461300,2250,0,0
